type;ator;qtd
Movie;N/A;475
Movie;Anupam Kher;42
Movie;Shah Rukh Khan;35
Movie;Naseeruddin Shah;32
Movie;Om Puri;30
Movie;Akshay Kumar;30
Movie;Julie Tejwani;28
Movie;Paresh Rawal;28
Movie;Amitabh Bachchan;28
Movie;Rupa Bhimani;27
Movie;Boman Irani;27
Movie;Kareena Kapoor;25
Movie;Samuel L. Jackson;22
Movie;Ajay Devgn;21
Movie;Rajesh Kava;21
Movie;Salman Khan;20
Movie;Nicolas Cage;20
Movie;Nawazuddin Siddiqui;20
Movie;Kay Kay Menon;20
Movie;Adam Sandler;20
Movie;Jigna Bhardwaj;19
Movie;James Franco;19
Movie;Gulshan Grover;19
Movie;John Cleese;19
Movie;Anil Kapoor;18
Movie;Yashpal Sharma;18
Movie;Jackie Shroff;17
Movie;Bruce Willis;17
Movie;David Spade;17
Movie;Andrea Libman;17
Movie;Asrani;17
Movie;Fred Tatasciore;17
Movie;Rajpal Yadav;17
Movie;Rajesh Sharma;16
Movie;Tinnu Anand;16
Movie;Morgan Freeman;16
Movie;Manoj Joshi;16
Movie;Kristen Stewart;16
Movie;Danny Trejo;16
Movie;Vijay Raaz;16
Movie;Sanjay Mishra;16
Movie;Saif Ali Khan;16
Movie;Priyanka Chopra;16
Movie;Hassan Hosny;16
Movie;Amrish Puri;16
Movie;Vatsal Dubey;16
Movie;Aamir Khan;16
Movie;Sanjay Dutt;15
Movie;Manoj Bajpayee;15
Movie;Tara Strong;15
Movie;Maya Rudolph;15
Movie;Willem Dafoe;15
Movie;Alfred Molina;15
Movie;Fred Armisen;15
Movie;Blossom Chukwujekwu;15
Movie;Molly Shannon;15
Movie;Mike Epps;15
Movie;Seth Rogen;15
Movie;Toyin Abraham;15
Movie;Pankaj Tripathi;14
Movie;John Abraham;14
Movie;Erin Fitzgerald;14
Movie;Johnny Depp;14
Movie;Rajkummar Rao;14
Movie;Pavan Malhotra;14
Movie;Sharat Saxena;14
Movie;Laura Bailey;14
Movie;Sachin Khedekar;14
Movie;Michael Peña;14
Movie;Demet Akbağ;14
Movie;Shakti Kapoor;14
Movie;Adil Hussain;14
Movie;Laurence Fishburne;14
Movie;Katrina Kaif;14
Movie;Ramsey Nouah;14
Movie;Kulbhushan Kharbanda;14
Movie;Liam Neeson;14
Movie;Ben Kingsley;14
Movie;Pierce Brosnan;14
Movie;Kevin Hart;13
Movie;Liev Schreiber;13
Movie;Helen Mirren;13
Movie;Ray Liotta;13
Movie;Swapnil;13
Movie;Shahid Kapoor;13
Movie;Vipin Sharma;13
Movie;Jackie Chan;13
Movie;Mousam;13
Movie;Mohnish Bahl;13
Movie;Brendan Gleeson;13
Movie;Nana Patekar;13
Movie;Woody Harrelson;13
Movie;Rishi Kapoor;13
Movie;Kate Higgins;13
Movie;Ranvir Shorey;13
Movie;John C. Reilly;13
Movie;Mithun Chakraborty;13
Movie;Irrfan Khan;13
Movie;Fortune Feimster;13
Movie;Stanley Tucci;13
Movie;Amy Adams;13
Movie;Radhika Apte;13
Movie;Shaffy Bello;13
Movie;Debi Derryberry;13
Movie;Ahmed Helmy;13
Movie;Abhishek Bachchan;13
Movie;Nassar;13
Movie;Tina Mba;13
Movie;Ryan Reynolds;13
Movie;Chris Rock;13
Movie;Richard Mofe-Damijo;13
Movie;Vincent Tong;13
Movie;Guy Pearce;13
Movie;John Travolta;13
Movie;Rob Riggle;12
Movie;Vidya Balan;12
Movie;Salma Hayek;12
Movie;James Marsden;12
Movie;Diana Kaarina;12
Movie;Samuel West;12
Movie;Harrison Ford;12
Movie;Saurabh Shukla;12
Movie;Martin Lawrence;12
Movie;Steve Buscemi;12
Movie;Will Ferrell;12
Movie;Robert Pattinson;12
Movie;Jeff Dunham;12
Movie;Robert De Niro;12
Movie;Juhi Chawla;12
Movie;Halle Berry;12
Movie;Dennis Quaid;12
Movie;Rajit Kapoor;12
Movie;Danny McBride;12
Movie;Paul Giamatti;12
Movie;Omoni Oboli;12
Movie;Antonio Banderas;12
Movie;Seema Biswas;12
Movie;Jimmy Shergill;12
Movie;Arjun Rampal;11
Movie;John Malkovich;11
Movie;Anton Yelchin;11
Movie;Dermot Mulroney;11
Movie;John Michael Higgins;11
Movie;Anthony Mackie;11
Movie;Raghuvir Yadav;11
Movie;Gary Oldman;11
Movie;Jessica Chastain;11
Movie;Sonal Kaushal;11
Movie;Divya Dutta;11
Movie;Denzel Washington;11
Movie;Cate Blanchett;11
Movie;Glenn Close;11
Movie;Sunil Shetty;11
Movie;Alok Nath;11
Movie;Bimbo Manuel;11
Movie;Ken Jeong;11
Movie;Ron Perlman;11
Movie;Satish Shah;11
Movie;Julia Roberts;11
Movie;Keanu Reeves;11
Movie;Gerard Butler;11
Movie;Julianne Moore;11
Movie;Don Cheadle;11
Movie;Lucy Liu;11
Movie;Javed Sheikh;11
Movie;Tusshar Kapoor;11
Movie;Sathyaraj;11
Movie;Manisha Koirala;11
Movie;B.N. Sharma;11
Movie;George Clooney;11
Movie;London Hughes;11
Movie;Kathryn Hahn;11
Movie;Robert Patrick;11
Movie;Michael Jai White;11
Movie;William H. Macy;11
Movie;Naomi Watts;11
Movie;Jacki Weaver;11
Movie;Robb Wells;11
Movie;Bruce Greenwood;11
