type;diretor;qtd
Movie;N/A;188
Movie;Rajiv Chilaka;22
Movie;Jan Suter;21
Movie;Raúl Campos;19
Movie;Suhas Kadav;16
Movie;Marcus Raboy;15
Movie;Jay Karas;15
Movie;Cathy Garcia-Molina;13
Movie;Martin Scorsese;12
Movie;Jay Chapman;12
Movie;Youssef Chahine;12
Movie;Steven Spielberg;11
Movie;Don Michael Paul;10
Movie;Yılmaz Erdoğan;9
Movie;Shannon Hartman;9
Movie;David Dhawan;9
Movie;Fernando Ayllón;8
Movie;Johnnie To;8
Movie;Hanung Bramantyo;8
Movie;Lance Bangs;8
Movie;Robert Rodriguez;8
Movie;Umesh Mehra;8
Movie;Kunle Afolayan;8
Movie;Troy Miller;8
Movie;Hakan Algül;8
Movie;Justin G. Dyck;8
Movie;Anurag Kashyap;8
Movie;McG;7
Movie;Noah Baumbach;7
Movie;S.S. Rajamouli;7
Movie;Toshiya Shinohara;7
Movie;Omoni Oboli;7
Movie;Ryan Polito;7
Movie;Ron Howard;7
Movie;Ozan Açıktan;7
Movie;Mae Czarina Cruz;7
Movie;Quentin Tarantino;7
Movie;Ram Gopal Varma;7
Movie;Prakash Satam;7
Movie;Clint Eastwood;7
Movie;Dibakar Banerjee;7
Movie;Hidenori Inoue;7
Movie;Leslie Small;7
Movie;Lasse Hallström;7
Movie;William Lau;6
Movie;Zoya Akhtar;6
Movie;Wenn V. Deramas;6
Movie;Joey So;6
Movie;Jesse V. Johnson;6
Movie;Rocky Soraya;6
Movie;Tilak Shetty;6
Movie;Anees Bazmee;6
Movie;Robert Vince;6
Movie;Imtiaz Ali;6
Movie;Robert Luketic;6
Movie;Riri Riza;6
Movie;Wong Jing;6
Movie;Rajkumar Santoshi;6
Movie;Priyadarshan;6
Movie;David Fincher;6
Movie;Karan Johar;6
Movie;Milan Luthria;6
Movie;Ashutosh Gowariker;6
Movie;Steven Soderbergh;6
Movie;Vlad Yudin;6
Movie;Steve Brill;6
Movie;Steve Ball;6
Movie;Manny Rodriguez;6
Movie;Sooraj R. Barjatya;6
Movie;Matt Askem;6
Movie;Kevin Smith;6
Movie;Sameh Abdulaziz;6
Movie;Shigeaki Kubo;5
Movie;David Batty;5
Movie;Spike Lee;5
Movie;Stanley Moore;5
Movie;Alex Woo;5
Movie;Rohit Shetty;5
Movie;Detlev Buck;5
Movie;Rajiv Mehra;5
Movie;Lilly Wachowski;5
Movie;Indra Kumar;5
Movie;John G. Avildsen;5
Movie;Madhur Bhandarkar;5
Movie;Mahesh Manjrekar;5
Movie;Mani Ratnam;5
Movie;Martin Campbell;5
Movie;Masahiko Murata;5
Movie;Mastan Alibhai Burmawalla;5
Movie;Lana Wachowski;5
Movie;Kıvanç Baruönü;5
Movie;Michael Simon;5
Movie;Mike Clattenburg;5
Movie;Nagesh Kukunoor;5
Movie;Ishi Rudell;5
Movie;Anurag Basu;5
Movie;Niyi Akinmolayan;5
Movie;Antoinette Jadaone;5
Movie;Jay Roach;5
Movie;Paul Thomas Anderson;5
Movie;Angga Dwimas Sasongko;5
Movie;Lynn Shelton;5
Movie;Andy Tennant;5
Movie;Poj Arnon;5
Movie;Prakash Jha;5
Movie;Ava DuVernay;5
Movie;Khaled Marei;5
Movie;Wilson Yip;5
Movie;Vince Marcello;5
Movie;Vishal Bhardwaj;5
Movie;Abbas Alibhai Burmawalla;5
Movie;Thierry Donard;5
Movie;Maroun Baghdadi;4
Movie;Sean McNamara;4
Movie;Jeremy Saulnier;4
Movie;Brian Levant;4
Movie;Michael McKay;4
Movie;Bruno Garotti;4
Movie;Michael Tiddes;4
Movie;Clay Glen;4
Movie;Peter Segal;4
Movie;John Huston;4
Movie;Rathindran R Prasad;4
Movie;Shaun Paul Piccinino;4
Movie;Mike Gunther;4
