nome_mes_extracao;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
01-JAN;1;0;0;0;0;0;2;1;15;58;105;116;152;96
02-FEV;0;0;0;0;1;0;1;3;9;65;63;103;72;65
03-MAR;0;0;0;0;0;0;0;3;14;87;138;119;93;75
04-ABR;0;0;0;0;0;0;1;1;14;66;87;119;127;135
05-MAI;0;1;0;1;0;0;0;5;9;63;70;91;105;94
06-JUN;0;0;0;0;0;0;1;4;11;65;50;122;115;124
07-JUL;0;0;0;0;0;0;1;5;19;45;125;98;103;169
08-AGO;0;0;0;0;0;0;1;2;23;77;130;87;82;117
09-SET;0;0;0;1;0;1;1;6;29;81;81;86;115;118
10-OUT;0;0;0;11;0;1;4;10;32;97;146;128;116;0
11-NOV;0;1;1;0;1;2;2;2;26;55;118;187;103;0
12-DEZ;0;0;0;0;1;2;5;14;52;80;124;168;101;0
